timestamp,temperature,humidity,soil_raw,soil_moisture
2026-03-02 22:49:31,25.0,60.0,1674,93
2026-03-02 22:50:37,25.0,60.0,1676,93
2026-03-02 22:51:42,25.0,60.0,1674,93
2026-03-02 22:52:48,25.0,60.0,1687,92
2026-03-02 22:53:52,25.0,60.0,1667,93
2026-03-02 22:55:15,20.8,88.7,1691,92
2026-03-02 22:56:22,20.8,88.4,1684,92
2026-03-02 22:57:26,20.8,88.1,1683,92
2026-03-02 22:58:31,20.2,92.2,1151,100
2026-03-02 22:59:35,19.6,99.9,1212,100
2026-03-02 23:00:43,19.3,99.9,1204,100
2026-03-02 23:01:47,19.1,99.9,1218,100
2026-03-02 23:02:54,18.8,99.9,1227,100
2026-03-02 23:03:58,18.6,99.9,1239,100
2026-03-02 23:05:02,18.4,99.9,1229,100
2026-03-02 23:06:07,18.2,99.9,1232,100
2026-03-02 23:07:12,18.0,99.9,1217,100
2026-03-02 23:08:17,17.8,99.9,1248,100
2026-03-02 23:09:22,17.6,99.9,1241,100
2026-03-02 23:10:26,17.4,99.9,1251,100
2026-03-02 23:11:31,17.3,99.9,1257,100
2026-03-02 23:12:36,17.2,99.9,1264,100
2026-03-02 23:13:41,17.1,99.9,1266,100
2026-03-02 23:14:45,17.0,99.9,1264,100
2026-03-02 23:15:50,17.0,99.9,1472,100
2026-03-02 23:16:55,17.0,99.9,1269,100
2026-03-02 23:18:00,17.0,99.9,1290,100
2026-03-02 23:19:05,16.9,99.9,1266,100
2026-03-02 23:20:10,16.9,99.9,1265,100
2026-03-02 23:21:14,16.9,99.9,1273,100
2026-03-02 23:22:19,16.9,99.9,1282,100
2026-03-02 23:23:24,16.9,99.9,1271,100
2026-03-02 23:24:28,16.9,99.9,1286,100
2026-03-02 23:25:33,16.9,99.9,1280,100
2026-03-02 23:26:36,16.9,99.9,1283,100
2026-03-02 23:27:42,16.9,99.9,1289,100
2026-03-02 23:28:47,16.9,99.9,1291,100
2026-03-02 23:29:52,16.9,99.9,1295,100
2026-03-02 23:30:57,16.9,99.9,1245,100
2026-03-02 23:32:03,16.9,99.9,1301,100
2026-03-02 23:33:08,16.9,99.9,1296,100
2026-03-02 23:34:13,16.9,99.9,1286,100
2026-03-02 23:35:18,16.9,99.9,1248,100
2026-03-02 23:36:22,16.9,99.9,1304,100
2026-03-02 23:37:27,16.9,99.9,1303,100
2026-03-02 23:38:32,16.9,99.9,1307,100
2026-03-02 23:39:37,16.9,99.9,1334,100
2026-03-02 23:40:42,16.9,99.9,1306,100
2026-03-02 23:41:47,16.9,99.9,1311,100
2026-03-02 23:42:52,16.9,99.9,1312,100
2026-03-02 23:43:57,16.9,99.9,1310,100
2026-03-02 23:45:02,16.9,99.9,1311,100
2026-03-02 23:46:06,16.9,99.9,1314,100
2026-03-02 23:48:16,16.9,99.9,1317,100
2026-03-02 23:49:21,16.9,99.9,1327,100
2026-03-02 23:50:26,16.9,99.9,1325,100
2026-03-02 23:51:31,16.9,99.9,1328,100
2026-03-02 23:52:36,16.9,99.9,1323,100
2026-03-02 23:53:42,17.0,99.9,1333,100
2026-03-02 23:54:46,17.0,99.9,1327,100
2026-03-02 23:55:51,16.9,99.9,1328,100
2026-03-02 23:56:55,17.0,99.9,1328,100
2026-03-02 23:58:00,16.9,99.9,1338,100
2026-03-02 23:59:08,17.0,99.9,1328,100
2026-03-03 00:00:11,16.9,99.9,1329,100
2026-03-03 00:01:14,17.0,99.9,1333,100
2026-03-03 00:02:20,17.0,99.9,1335,100
2026-03-03 00:03:23,16.9,99.9,1332,100
2026-03-03 00:04:28,17.0,99.9,1338,100
2026-03-03 00:05:31,17.0,99.9,1341,100
2026-03-03 00:06:36,17.0,99.9,1341,100
2026-03-03 00:07:41,17.0,99.9,1341,100
2026-03-03 00:08:45,17.0,99.9,1348,100
2026-03-03 00:09:49,17.0,99.9,1345,100
2026-03-03 00:10:54,17.0,99.9,1277,100
2026-03-03 00:12:01,17.0,99.9,1354,100
2026-03-03 00:13:09,17.0,99.9,1345,100
2026-03-03 00:14:11,17.0,99.9,1437,100
2026-03-03 00:15:15,17.0,99.9,1337,100
2026-03-03 00:16:23,17.0,99.9,1347,100
2026-03-03 00:17:28,17.0,99.9,1357,100
2026-03-03 00:18:31,17.0,99.9,1359,100
2026-03-03 00:19:38,17.0,99.9,1354,100
2026-03-03 00:20:42,17.0,99.9,1353,100
2026-03-03 00:21:44,17.0,99.9,1355,100
2026-03-03 00:22:50,17.0,99.9,1356,100
2026-03-03 00:23:54,17.0,99.9,1357,100
2026-03-03 00:24:59,17.0,99.9,1363,100
2026-03-03 00:26:04,17.0,99.9,1358,100
2026-03-03 00:27:09,17.0,99.9,1353,100
2026-03-03 00:28:14,17.0,99.9,1361,100
2026-03-03 00:29:19,17.0,99.9,1360,100
2026-03-03 00:30:24,17.0,99.9,1359,100
2026-03-03 00:31:29,16.9,99.9,1360,100
2026-03-03 00:32:33,17.0,99.9,1363,100
2026-03-03 00:33:38,16.9,99.9,1361,100
2026-03-03 00:34:53,16.9,99.9,1431,100
2026-03-03 00:35:59,16.9,99.9,1360,100
2026-03-03 00:37:04,16.9,99.9,1360,100
2026-03-03 00:38:09,16.9,99.9,1360,100
2026-03-03 00:39:14,16.9,99.9,1361,100
2026-03-03 00:40:19,16.9,99.9,1361,100
2026-03-03 00:41:22,16.9,99.9,1361,100
2026-03-03 00:42:27,16.9,99.9,1363,100
2026-03-03 00:43:33,16.9,99.9,1281,100
2026-03-03 00:44:38,16.9,99.9,1367,100
2026-03-03 00:45:43,17.0,99.9,1372,100
2026-03-03 00:46:47,17.0,99.9,1370,100
2026-03-03 00:47:53,17.0,99.9,1382,100
2026-03-03 00:49:01,17.0,99.9,1367,100
2026-03-03 00:50:05,17.0,99.9,1372,100
2026-03-03 00:51:10,17.0,99.9,1371,100
2026-03-03 00:52:15,17.0,99.9,1372,100
2026-03-03 00:53:21,17.0,99.9,1374,100
2026-03-03 00:54:27,17.0,99.9,1266,100
2026-03-03 00:55:31,17.0,99.9,1374,100
2026-03-03 00:56:37,17.0,99.9,1375,100
2026-03-03 00:57:45,17.0,99.9,1374,100
2026-03-03 00:58:50,17.0,99.9,1374,100
2026-03-03 00:59:55,17.0,99.9,1379,100
2026-03-03 01:01:00,17.0,99.9,1377,100
2026-03-03 01:02:05,17.0,99.9,1377,100
2026-03-03 01:03:10,17.0,99.9,1377,100
2026-03-03 01:04:16,17.0,99.9,1376,100
2026-03-03 01:05:21,17.0,99.9,1379,100
2026-03-03 01:06:25,17.0,99.9,1383,100
2026-03-03 01:07:28,17.0,99.9,1382,100
2026-03-03 01:08:35,17.1,99.9,1381,100
2026-03-03 01:09:39,17.0,99.9,1387,100
2026-03-03 01:10:44,17.1,99.9,1386,100
2026-03-03 01:11:47,17.1,99.9,1395,100
2026-03-03 01:12:52,17.1,99.9,1389,100
2026-03-03 01:13:57,17.2,99.9,1406,100
2026-03-03 01:15:02,17.2,99.9,1403,100
2026-03-03 01:16:07,17.3,99.9,1398,100
2026-03-03 01:17:14,17.3,99.9,1399,100
2026-03-03 01:18:19,17.4,99.9,1399,100
2026-03-03 01:19:31,17.4,99.9,1406,100
2026-03-03 01:20:13,17.4,99.9,1409,100
2026-03-03 01:35:18,17.3,99.9,1394,100
2026-03-03 01:50:23,17.2,99.9,1405,100
2026-03-03 02:05:29,17.1,99.9,1412,100
2026-03-03 02:20:34,17.1,99.9,1426,100
2026-03-03 02:35:39,17.1,99.9,1423,100
2026-03-03 02:50:44,17.0,99.9,1427,100
2026-03-03 03:05:49,17.1,99.9,1439,100
2026-03-03 03:20:54,17.0,99.9,1437,100
2026-03-03 03:35:59,17.0,99.9,1443,100
2026-03-03 03:51:04,17.0,99.9,1452,100
2026-03-03 04:06:08,17.0,99.9,1456,100
2026-03-03 04:21:13,17.1,99.9,1457,100
2026-03-03 04:23:13,17.0,99.9,1463,100
2026-03-03 04:38:18,17.0,99.9,1467,100
2026-03-03 04:53:23,17.0,99.9,1462,100
2026-03-03 05:08:28,17.0,99.9,1470,100
2026-03-03 05:23:34,17.0,99.9,1473,100
2026-03-03 05:38:39,16.9,99.9,1481,100
2026-03-03 05:53:44,16.9,99.9,1488,100
2026-03-03 06:08:47,16.9,99.9,1488,100
2026-03-03 06:23:53,16.9,99.9,1490,100
2026-03-03 06:38:57,16.9,99.9,1498,100
2026-03-03 06:54:02,16.9,99.9,1520,99
2026-03-03 07:09:07,16.9,99.9,1506,99
2026-03-03 07:24:14,16.9,99.9,1470,100
2026-03-03 07:39:19,17.0,99.9,1517,99
2026-03-03 07:54:24,17.0,99.9,1520,99
2026-03-03 08:09:29,17.0,99.9,1520,99
2026-03-03 08:24:34,17.1,99.3,1523,99
2026-03-03 08:39:39,17.0,98.8,1525,99
2026-03-03 08:54:44,17.1,98.6,1530,98
2026-03-03 09:09:52,17.0,97.5,1535,98
2026-03-03 09:24:57,16.8,96.8,1535,98
2026-03-03 09:40:10,16.8,96.5,1503,99
2026-03-03 09:55:32,16.7,96.3,1535,98
2026-03-03 10:10:25,16.6,96.3,1511,99
2026-03-03 10:25:31,16.6,96.0,1560,97
2026-03-03 10:40:47,16.5,96.1,1557,97
2026-03-03 10:55:48,16.5,96.3,1555,97
2026-03-03 11:10:53,16.5,96.8,1573,97
2026-03-03 11:25:58,16.5,96.5,1567,97
2026-03-03 11:41:04,16.5,96.6,1578,96
2026-03-03 11:56:09,16.5,96.6,1579,96
2026-03-03 12:11:22,16.5,96.2,1583,96
2026-03-03 12:26:31,16.4,96.2,1601,96
2026-03-03 12:41:35,16.4,96.3,1563,97
2026-03-03 12:56:40,16.4,96.3,1584,96
2026-03-03 13:11:47,16.4,96.3,1590,96
2026-03-03 13:26:52,16.5,96.7,1600,96
2026-03-03 13:41:59,17.0,97.6,1601,96
2026-03-03 13:57:05,17.3,97.4,1604,95
2026-03-03 14:12:09,17.6,97.4,1613,95
2026-03-03 14:27:14,17.8,97.2,1616,95
2026-03-03 14:42:21,18.1,96.9,1625,95
2026-03-03 14:57:46,18.4,96.7,1632,94
2026-03-03 15:12:38,18.4,96.6,1631,94
2026-03-03 15:27:49,18.4,96.8,1632,94
2026-03-03 15:42:54,18.4,96.8,1637,94
2026-03-03 16:13:12,18.6,96.4,1646,94
2026-03-03 16:28:19,18.9,96.3,1707,92
2026-03-03 16:43:23,18.9,95.9,1629,95
2026-03-03 16:58:29,18.9,95.2,1648,94
2026-03-03 17:13:46,18.9,95.9,1651,94
2026-03-03 17:28:44,19.0,94.9,1659,93
2026-03-03 17:43:49,19.1,95.2,1661,93
2026-03-03 17:58:55,19.3,94.5,1665,93
2026-03-03 18:14:00,19.5,94.5,1670,93
2026-03-03 18:29:06,19.7,94.1,1676,93
2026-03-03 18:44:13,19.9,94.5,1680,93
2026-03-03 18:59:18,20.0,94.5,1682,92
2026-03-03 19:29:46,19.6,94.3,1687,92
2026-03-03 19:44:52,19.5,94.9,1681,93
2026-03-03 19:59:58,19.4,94.6,1681,93
2026-03-03 20:15:05,19.3,94.9,1683,92
2026-03-03 20:28:41,19.1,92.7,1698,92
2026-03-03 20:28:52,19.1,93.2,1694,92
